C R D G	834 888 942 0 783 993
U Q C	818 922 1025 0 784 1059
G F U F	910 0 879
I Y C F	901 0 790 945
H U F T	905 0 872
K I R	1240 0 1207
W A L M	918 0 887
A P S	912 0 881
G K S Y	1014 0 972 1087
P U L	957 0 926
R N Q G	1243 0 1210
M C O	832 890 948 0 786 995
Y C F A	965 0 787 991
I V S R	1243 0 1210
V T E	422 695 968 0 391 999
H O F	908 0 875
L Y R	1000 1147 1245 0 970 1279
K C G K	1041 0 1005 1107
P E N	422 652 881 0 391 912
L U S	912 0 881
I F U P	1057 0 1025
E U V G	422 692 961 0 391 992
U A S	912 0 881
R P G	1243 0 1210
F W G	957 0 926
G O Q	910 0 879
W A H V	957 0 924
E Y F U	407 0 318 458
H K M	1044 0 1012
C G Q	864 0 788 941
C V N	848 0 787 909
Y I O	985 0 931 1039
N H D	595 795 961 0 563 992
L L A	966 0 935
I G G K	1047 0 1015
R E I	963 1125 1247 0 931 1280
N G V	959 0 928
P C F T	863 0 788 938
G W C	818 922 1025 0 784 1059
C P I	831 892 953 0 786 998
K H P D	967 0 922 1079
E H O G	594 795 961 0 562 992
O N F	910 0 879
G I D I	362 969 0 331 1000
S O M	918 0 887
D H F	595 772 913 0 563 945
U G M	918 0 887
N S U V	959 0 928
V R A Y	1000 1147 1245 0 971 1279
R Q F E	962 1124 1247 0 930 1280
Y G I C	828 876 1001 0 785 1024
N P G D	362 961 0 331 992
U K M T	1046 0 1015
T Q A	966 0 935
R N G	1243 0 1210
V F K	1047 0 1015
V R V	1243 0 1210
A S S	912 0 881
Y A O V	983 0 928 1038
N Q G Q	910 0 879
V H H Q	906 0 872
D O L M	362 922 0 331 953
F A E G	422 692 961 0 391 992
N P S S	912 0 881
C W L	835 888 941 0 786 990
G T K	1047 0 1015
H V V	957 0 924
C E Q	422 605 823 0 391 852
I Q P F	910 0 879
V V W W	936 0 905
T M E U	386 0 318 453
G W D G	362 961 0 331 992
P I U R	1243 0 1210
R C R L	1236 0 1200 1302
E F H V	594 796 963 0 562 994
W L E D	410 0 333 458
I G G	957 0 926
G D D	371 0 314 409
K L W N	1047 0 1015
K W M	1046 0 1015
H I V	957 0 924
V K E	983 0 932 1080
I I E A	422 696 970 0 391 1001
K C T	910 0 875 1081
E F D D	375 0 309 404
K Y Y W	1005 0 964 1043
T C E T	422 605 823 0 391 852
S F A	966 0 935
M E P	422 1061 0 391 1092
I G O P	1057 0 1025
D N P	362 1061 0 331 1092
U A L Y	958 0 881 1035
S U K	1047 0 1015
C L Q H	832 0 783 943
F T F V	959 0 928
L L T U	345 0 314
M D U D	371 0 314 409
H H C	812 962 1017 0 777 1058
L W A	966 0 935
G L G O	962 0 931
H D D Y	375 477 604 0 353 638
R E N W	934 1109 1248 0 901 1280
O H M	916 0 883
M H W	934 0 901
A N R	1243 0 1210
P O D U	356 0 308 403
T U I D	362 961 0 331 992
M D O	362 966 0 331 997
S S T	907 0 876
U M U	345 0 314
P U R	1243 0 1210
W P N S	912 0 881
F U H L	955 0 922
V W G	957 0 926
O Y D	362 962 0 331 985
C G G	835 888 941 0 786 990
D S N Y	362 622 916 0 331 945
Y T T	957 0 880 1035
U U D M	362 922 0 331 953
G S W Y	958 0 881 1035
S P C Q	864 0 788 941
Y D K R	1018 0 968 1088
N Y F	959 0 883 1035
W O	962 0 931
H K K E	1037 0 1005 1111
W Q W	936 0 905
G A K D	975 0 925 1079
Q C D F	362 575 823 0 331 852
L A O S	912 0 881
F S V Y	958 0 881 1035
H I V Q	908 0 875
R U V S	1243 0 1210
O A Q I	965 0 934
K O I P	1065 0 1045
W S D N	362 622 881 0 331 912
I O Q	910 0 879
T C F L	835 888 941 0 786 990
R D U K	1047 1199 1228 0 1012 1278
P A Q	910 0 879
T T S	912 0 881
O U Y F	959 0 883 1035
P S Q	910 0 879
H P V	957 0 924
N T I N	877 0 846
H N P O	960 0 927
K M L S	1046 0 1015
U M C	818 922 1025 0 784 1059
F F S M	918 0 887
N A O F	910 0 879
U W E C	422 605 821 0 391 854
M L I	965 0 934
O Q E V	422 693 963 0 391 994
H M E P	594 844 1061 0 562 1092
L D V	362 963 0 331 994
H G Y K	1008 0 967 1090
D O C Y	362 566 825 0 331 855
F W E	422 695 968 0 391 999
W P O U	345 0 314
M K U	1048 0 1015
F Y A M	963 0 891 1035
T A W S	912 0 881
O S V K	1047 0 1015
A M Q	910 0 879
I G Q	910 0 879
D Q Y V	362 963 0 331 987
I W U K	1047 0 1015
M R O K	1240 0 1207
F S D	362 961 0 331 992
E E A	431 0 374 469
L U I I	965 0 934
D N Y I	362 968 0 331 991
U I Y C	828 876 1001 0 785 1024
C V E Q	422 605 823 0 391 852
H H S L	953 0 919
P C A L	835 888 941 0 786 990
F T C K	893 0 862 1082
K S W N	1047 0 1015
N E Q E	431 0 374 469
C W T	863 0 788 938
T N U P	1057 0 1025
D M M W	362 940 0 331 971
C O U W	0 787 968
L V G	957 0 926
T E E G	431 0 374 469
P S C I	831 892 953 0 786 998
D H R	897 1101 1248 0 863 1280
K N A	1046 0 1018
V C R Y	948 0 878 1038
V P Y G	982 0 927 1038
F N C	818 922 1025 0 784 1059
D K K A	1040 0 1008 1107
V H O S	910 0 877
F Q P	1057 0 1025
R K G R	1251 0 1229
Q V W A	966 0 935
H E O A	594 799 970 0 562 1001
F S F	910 0 879
C G R	897 1091 1248 0 869 1280
O M S	912 0 881
M Y T M	963 0 891 1035
Y W U O	985 0 931 1039
P A S	912 0 881
P M K	1047 0 1015
M S G	957 0 926
C N N M	868 0 788 949
T G G	957 0 926
M C E	422 605 822 0 391 854
W G Q U	345 0 314
H N K I	1044 0 1015
L Q U	345 0 314
S K V R	1240 0 1207
S A I R	1243 0 1210
T D O U	356 0 308 403
I H A N	875 0 842
T E Y T	422 651 915 0 391 944
U Q E	422 695 968 0 391 999
T Q Q	910 0 879
R T U	1243 0 1210
K P G C	1030 0 988 1093
U C R	897 1091 1248 0 869 1280
K Q V K	1058 0 1037
D F C O	362 575 822 0 331 854
K M L	1046 0 1017
C S A S	865 0 788 943
Q U L	957 0 926
E E S	431 0 374 469
E M I T	422 667 911 0 391 942
C L R	897 1091 1248 0 869 1280
O M O R	1243 0 1210
V Q A	966 0 935
E Q M L	422 692 961 0 391 992
E A K T	913 0 874 1081
V C S	865 0 788 943
Y P A R	1000 1147 1245 0 970 1279
D H W	595 785 940 0 563 971
P V I	965 0 934
G S O	962 0 931
C G A R	897 1091 1248 0 869 1280
R W A O	1243 0 1210
Q Q F	910 0 879
G S E	422 695 968 0 391 999
C E W	422 605 823 0 391 854
U V O	962 0 931
M W G	957 0 926
K T Y E	990 0 930 1034
M I K	1047 0 1015
F M S	912 0 881
V C O	832 890 948 0 786 995
H O P M	916 0 883
R F W	1243 0 1210
W Q I	965 0 934
C E E Q	435 0 369 471
L L S G	957 0 926
V M M	918 0 887
S E T F	422 668 914 0 391 945
Y C D W	362 566 825 0 331 857
D G L A	362 970 0 331 1001
Q U M	918 0 887
V S W	936 0 905
D A L R	899 1091 1248 0 866 1280
H D G	595 795 961 0 563 992
C E E G	435 0 369 471
T Q L	957 0 926
T N O L	957 0 926
L H P	1055 0 1022
Q E I I	422 696 969 0 391 1000
D S A Y	362 622 916 0 331 945
S Y I	986 0 933 1039
O F T H	912 0 879
W U L U	345 0 314
F M V R	1243 0 1210
Q M C S	865 0 788 943
L M D	362 961 0 331 992
W D V N	362 622 881 0 331 912
L P V H	912 0 879
D E Q N	410 0 333 458
U K D	975 0 925 1079
F G C	818 922 1025 0 784 1059
D R M	916 1100 1248 0 883 1280
V R R	1253 0 1232
F V M F	910 0 879
C O P A	830 892 954 0 786 999
A D O L	362 961 0 331 992
Q O K E	983 0 932 1080
N N P S	912 0 881
Q F D	362 961 0 331 992
P P V C	818 922 1025 0 784 1059
C G F	864 0 788 941
T E W T	422 667 911 0 391 942
H C H C	812 0 768 867
V I C G	835 888 941 0 786 990
Y I H	933 0 882 1033
C C S G	824 0 767 861
F F U	345 0 314
F U P T	907 0 876
L H Q	908 0 875
M P K E	983 0 932 1080
E T O	422 694 966 0 391 997
T A F M	918 0 887
K S P	1065 0 1045
I U F	910 0 879
M E D	410 0 333 458
D T R	899 1091 1248 0 866 1280
N Y U O	985 0 931 1039
I C D	362 575 822 0 331 854
H P A C	814 946 1022 0 781 1059
A R F	1243 0 1210
A F Q W	936 0 905
W L P F	910 0 879
F F N O	962 0 931
C C W	824 0 767 861
I C G O	832 890 948 0 786 995
K L M	1046 0 1015
Q T F O	962 0 931
C A T C	824 0 767 862
P Q D T	362 637 911 0 331 942
D D Y	375 0 309 411
H O F C	814 946 1022 0 781 1059
V L D	362 961 0 331 992
S A K P	1065 0 1045
W L A	966 0 935
Q G U O	962 0 931
F Y N Q	959 0 883 1035
V W U S	912 0 881
H N K C	1025 0 985 1097
A S M F	910 0 879
P M D G	362 961 0 331 992
N D Q T	362 637 911 0 331 942
I G F S	912 0 881
U W E U	386 0 318 453
I O A	966 0 935
L G C	818 922 1025 0 784 1059
N U T	907 0 876
L K D V	977 0 927 1079
K I E I	984 0 933 1080
G G A Y	958 0 881 1035
A F Y E	422 680 967 0 391 990
K N Y V	1014 0 979 1086
V M U	345 0 314
E H M	594 776 921 0 562 953
C U R	897 1091 1248 0 869 1280
S G M	918 0 887
S W H	912 0 879
H G T F	908 0 875
F P S E	422 695 968 0 391 999
P D I U	356 0 308 403
A R R M	1253 0 1232
C P E P	422 605 821 0 391 853
G N N	877 0 846
M Y K Q	1014 0 972 1087
T E W	422 681 940 0 391 971
O R N	1243 0 1210
I H S A	964 0 931
A R C	1024 1159 1243 0 990 1279
E K N T	913 0 874 1081
I N Y I	986 0 933 1039
T G W	936 0 905
M K I V	1046 0 1017
L L S H	912 0 879
E D I Y	417 0 330 462
C U E D	417 0 330 462
E R L	955 1120 1248 0 922 1280
E N C	422 605 821 0 391 854
O V S I	965 0 934
P Q D	362 961 0 331 992
G M U V	959 0 928
M D I P	362 1061 0 331 1092
P D C T	362 575 823 0 331 852
O A Y P	1032 0 975 1090
I F U	345 0 314
D C V Q	362 575 823 0 331 852
G U W H	912 0 879
P A A G	957 0 926
W E D O	410 0 333 458
E G F U	386 0 318 453
Q U C	818 922 1025 0 784 1059
F Y O	985 0 931 1039
T Q E	422 695 968 0 391 999
H Y T	925 0 875 1033
V W U O	962 0 931
H G L O	960 0 927
U H W N	875 0 842
T Y R	1000 1147 1245 0 970 1279
S U T	907 0 876
Q S R I	1243 0 1210
I W L O	962 0 931
D E W T	410 0 333 458
M U M	918 0 887
E F S	422 669 916 0 391 947
P U G P	1057 0 1025
W E G	422 692 961 0 391 992
T E O U	386 0 318 453
M M S	912 0 881
I H A	964 0 931
O E E P	431 0 374 469
N W Y A	987 0 934 1040
D A C D	375 0 309 411
D A F O	362 966 0 331 997
W P N N	877 0 846
T C Q D	362 575 822 0 331 854
D Y Y T	362 613 919 0 331 950
R C S O	959 1123 1247 0 927 1280
M M H	912 0 879
R W Q	1243 0 1210
I H H L	953 0 919
W N I	965 0 934
W Q M I	965 0 934
N A G	957 0 926
N H I M	916 0 883
H N A L	955 0 922
M A K	1047 0 1015
I W T	907 0 876
I H G	955 0 922
R T P	1242 0 1210
Y N R F	1000 1147 1245 0 971 1279
O M R Q	1243 0 1210
Q E I G	422 692 961 0 391 992
M A A	966 0 935
Y V Y D	362 638 967 0 331 988
P K S L	1046 0 1017
N G Q I	965 0 934
L P S S	912 0 881
D R P	1058 1183 1236 0 1023 1278
Q H H H	908 0 873
I R H	1241 0 1207
O E E H	437 526 594 0 413 634
U P G	957 0 926
Y R O I	1005 1148 1245 0 982 1279
Q R U C	1024 1159 1243 0 990 1279
O Q T O	962 0 931
N D Y O	362 966 0 331 989
M F C M	868 0 788 949
I T E P	422 1061 0 391 1092
F F Y G	982 0 927 1038
L E R	899 1091 1248 0 866 1280
L O N G	957 0 926
K U S	1046 0 1015
U Y C O	961 0 788 988
K L A	1046 0 1018
T A O Y	958 0 881 1035
G Q D S	362 639 916 0 331 947
Q A R E	962 1124 1247 0 930 1280
Y G E C	422 596 823 0 391 857
T T L W	936 0 905
M P H W	934 0 901
U G F W	936 0 905
K R L N	1240 0 1207
R K U H	1238 0 1204
P S W A	966 0 935
P M T T	907 0 876
O W I G	957 0 926
H T V M	916 0 883
H K W	1044 0 1012
M U K L	1046 0 1017
V C P E	422 605 822 0 391 854
R Q W Y	1000 1147 1245 0 971 1279
E W I C	422 605 821 0 391 854
I E E H	437 526 594 0 413 634
E N T	422 667 911 0 391 942
T E T M	422 672 922 0 391 953
R R G F	1253 0 1232
I A W O	962 0 931
Q U S	912 0 881
O L F Q	910 0 879
U U M N	877 0 846
R U V C	1024 1159 1243 0 990 1279
K F S D	975 0 925 1079
H D H	606 786 917 0 585 949
O L F	910 0 879
F G S	912 0 881
M C S U	345 582 819 0 314 850
T G E G	422 692 961 0 391 992
G Y K N	1015 0 970 1087
F O S F	910 0 879
Q W E	422 695 968 0 391 999
S V N S	912 0 881
O Q N D	362 961 0 331 992
P Q I	965 0 934
I W A K	1047 0 1015
Q G F	910 0 879
U F K U	1048 0 1015
H Q A	964 0 931
E P H C	597 708 818 0 563 853
F H O	960 0 927
M Q H S	910 0 877
S M S P	1057 0 1025
T V U S	912 0 881
R K F	1240 0 1207
U R A T	1243 0 1210
S E C I	422 605 822 0 391 854
O N N	877 0 846
K O A N	1047 0 1015
P R N	1243 0 1210
Q A T	907 0 876
Y A Y	989 0 884 1017
T L S R	1243 0 1210
W E T	422 667 911 0 391 942
W T H D	595 795 961 0 563 992
R T E	962 1124 1247 0 930 1280
I W S S	912 0 881
Y O O P	1032 0 975 1090
T O I M	918 0 887
O D T	362 637 911 0 331 942
D Q Q	362 638 914 0 331 945
T C D	362 575 822 0 331 854
H V Y	926 0 876 1033
N C C Q	824 0 767 859
S D M	362 922 0 331 953
N D M	362 922 0 331 953
T D Y Y	362 613 920 0 331 951
V P C	818 922 1025 0 784 1059
V M G N	877 0 846
I A F U	345 0 314
Y V U G	982 0 927 1038
K L T	1046 0 1015
D A Q	362 638 914 0 331 945
I C A E	422 605 822 0 391 854
F S C H	832 0 783 943
H F V G	955 0 922
N S S	912 0 881
K L P M	1046 0 1015
P K V I	1046 0 1018
M G P F	910 0 879
M R O R	1253 0 1232
U U T R	1243 0 1210
W U T	907 0 876
V K K G	1058 0 1038
E I M Y	422 652 916 0 391 945
A R N	1243 0 1210
Q W G	957 0 926
T N M	918 0 887
E E I	431 0 374 469
R A Y	1000 1147 1245 0 971 1279
F Q T Q	910 0 879
A D O D	371 0 314 409
T R D	955 1120 1248 0 922 1280
Y T S	960 0 885 1035
G I L V	959 0 928
L H H S	908 0 874
T F N Y	958 0 881 1035
U R D	955 1120 1248 0 922 1280
S Y V	983 0 928 1038
V W T	907 0 876
W W C H	832 0 783 943
P M U I	965 0 934
D M P	362 1061 0 331 1092
U N S	912 0 881
U I D H	595 774 917 0 563 949
L E K	896 0 859 1082
C E V L	422 605 822 0 391 854
Q A N	877 0 846
I S K	1047 0 1015
C T W	0 787 968
D K F	917 0 877 1081
T I R	1243 0 1210
D K P F	917 0 877 1081
C M R L	954 1121 1248 0 922 1280
H H R U	1239 0 1204
M C W K	893 0 862 1082
V S F	910 0 879
P P E	422 695 968 0 391 999
U I G S	912 0 881
V O R	1243 0 1210
A Y L A	987 0 934 1040
I Q T	907 0 876
I O G P	1057 0 1025
Y U T Y	989 0 884 1017
I V S	912 0 881
F C T	863 0 788 938
L S Y Q	959 0 883 1035
S D W	362 940 0 331 971
R C D T	863 0 785 941
P E D	410 0 333 458
Y L S R	1000 1147 1245 0 970 1279
T U G R	1243 0 1210
D N E V	410 0 333 458
L F R	1243 0 1210
V T R P	1242 0 1210
Q W K D	975 0 925 1079
P K G	1046 0 1017
P W K	1047 0 1015
M T G	957 0 926
C G N P	816 938 1059 0 784 1092
F W H Y	926 0 876 1033
A I M	918 0 887
H R V K	1238 0 1204
Y Q I L	982 0 927 1038
H V A P	1055 0 1022
W G E	422 695 968 0 391 999
E V P Y	422 652 916 0 391 945
V G S	912 0 881
C C T D	362 566 811 0 331 831
U I Y	958 0 881 1035
G T O P	1057 0 1025
U V U H	912 0 879
G Y N F	959 0 883 1035
V A S C	818 922 1025 0 784 1059
R S Y W	1001 1147 1245 0 975 1279
H S F O	960 0 927
E Y Y	422 643 920 0 391 951
D M O	362 966 0 331 997
V Y L	982 0 927 1038
E P L S	422 669 916 0 391 947
V U A	966 0 935
T M I W	936 0 905
H Y O N	887 0 844 1034
I E E F	431 0 374 469
C V Y C	828 0 762 864
V Q M M	918 0 887
E L E	431 0 374 469
Y U R	1000 1147 1245 0 970 1279
O V K M	1046 0 1015
I L E W	422 681 940 0 391 971
D U W F	362 638 914 0 331 945
P F C	818 922 1025 0 784 1059
O I U F	910 0 879
Q W A M	918 0 887
I N C S	865 0 788 943
F C O	832 890 948 0 786 995
R G S U	1243 0 1210
E R C	816 922 1028 0 781 1063
I Y D	362 962 0 331 985
E R H	910 1108 1248 0 876 1280
M P O	962 0 931
Y D L	362 962 0 331 985
D L G T	362 637 911 0 331 942
R F O	1243 0 1210
R D E	420 695 970 0 395 1002
U P F G	957 0 926
S L Y O	985 0 931 1039
E Y T U	407 0 318 458
E U L R	899 1091 1248 0 866 1280
L U D	362 961 0 331 992
P L L	957 0 926
U E C I	422 605 822 0 391 854
K D H	917 0 878 1079
W K N U	1048 0 1015
P D G K	896 0 859 1082
R V Y	1000 1147 1245 0 971 1279
A H A	964 0 931
C P H	832 0 783 943
E C P	422 605 821 0 391 853
V H U	595 0 563
Y A E D	417 0 330 462
E L P I	422 696 969 0 391 1000
E Q M E	431 0 374 469
O E G	422 692 961 0 391 992
A M D	362 961 0 331 992
P U F	910 0 879
Q I C Q	864 0 788 941
Q A H I	963 0 930
K L O W	1046 0 1015
V F D	362 961 0 331 992
Q I V	959 0 928
Y O Q M	963 0 891 1035
D M M	362 922 0 331 953
V Y Q Y	989 0 884 1017
F D Y	362 622 916 0 331 945
L Y A U	345 1008 0 314 1039
T C Y P	828 879 1007 0 785 1033
Q U N V	959 0 928
S A P	1057 0 1025
K M F	1046 0 1015
W R N	1243 0 1210
P D S	362 639 916 0 331 947
O I K K	1058 0 1037
V T Q P	1057 0 1025
Q G N	877 0 846
H Y Q	928 0 878 1033
T S S	912 0 881
W F Y R	1000 1147 1245 0 970 1279
W G R	1243 0 1210
E U K U	418 1054 0 391 1085
S I T	907 0 876
Y C O	961 0 788 988
N S G	957 0 926
K E F	917 0 877 1081
V S T	907 0 876
S E A I	422 696 969 0 391 1000
W Q H K	1045 0 1011
G O E D	410 0 333 458
S N I	965 0 934
P Q K K	1058 0 1037
L U V	959 0 928
G G G N	877 0 846
Y C C D	362 560 813 0 331 835
S I V U	345 0 314
W I Y	958 0 881 1035
S H I	963 0 930
G T T H	912 0 879
A C N U	345 582 819 0 314 850
K T W T	1046 0 1015
W W U O	962 0 931
I P A	966 0 935
A K V	1046 0 1017
M S E	422 695 968 0 391 999
F U H M	916 0 883
D S S A	362 970 0 331 1001
Q H Y R	998 1159 1244 0 967 1279
D S F	362 638 914 0 331 945
F F H A	964 0 931
N F L	957 0 926
U E Y I	422 680 968 0 391 991
O K Y V	1014 0 979 1086
Y O N	913 942 972 0 849 1036
H V F P	1055 0 1022
R S F P	1242 0 1210
D F U T	362 637 911 0 331 942
K P D O	981 0 930 1079
I Q P Q	910 0 879
V T V N	877 0 846
Q D L U	356 0 308 403
N P U V	959 0 928
G K W E	983 0 932 1080
W L V E	422 695 968 0 391 999
M G W	936 0 905
P T V L	957 0 926
T O T M	918 0 887
D C F M	362 575 823 0 331 853
F V I	965 0 934
W R R M	1253 0 1232
F F T	907 0 876
N S F H	912 0 879
E K O F	917 0 877 1081
I T U	345 0 314
A N U F	910 0 879
A L O N	877 0 846
S V H	912 0 879
N F E L	422 692 961 0 391 992
Q W F	910 0 879
Q T Y	958 0 881 1035
G A P E	422 695 968 0 391 999
Q D I	362 969 0 331 1000
R L R	1253 0 1232
G S C	818 922 1025 0 784 1059
C Q K	893 0 862 1082
E P V G	422 692 961 0 391 992
L L W I	965 0 934
C F E	422 605 822 0 391 854
G M O	962 0 931
I T N	877 0 846
U R E U	418 1249 0 391 1280
R F Y	1000 1147 1245 0 971 1279
K S Y	1014 0 972 1087
L C G V	834 889 944 0 786 992
N U U Y	958 0 881 1035
C T F N	848 0 787 909
R I K D	1045 1200 1228 0 1014 1278
U S O	962 0 931
C K P	1048 0 1009 1106
H E K R	1044 0 1009 1277
O C Y S	904 0 790 947
R U S N	1243 0 1210
T K S T	1046 0 1015
D F L T	362 637 911 0 331 942
P C Y N	866 0 786 913
R D O F	908 1096 1248 0 875 1280
E V Q T	422 667 911 0 391 942
V O W	936 0 905
D S F G	362 961 0 331 992
L T N	877 0 846
T C A U	345 582 819 0 314 850
K W D	975 0 925 1079
T G N N	877 0 846
C S Q K	893 0 862 1082
U S D F	362 638 914 0 331 945
I K I	1046 0 1018
H R F O	1241 0 1207
V V G	957 0 926
W I H U	595 0 563
V N T	907 0 876
M A S U	345 0 314
Y U Y N	992 0 851 1017
K W S	1046 0 1015
E P P L	422 692 961 0 391 992
V R D	955 1120 1248 0 922 1280
A N S	912 0 881
S Q S	912 0 881
L F Y E	422 680 967 0 391 990
L A R S	1243 0 1210
V Y T F	959 0 883 1035
I C E V	422 605 822 0 391 854
P Y K O	1014 0 980 1086
D G A N	362 622 881 0 331 912
U U	345 0 314
S O A L	957 0 926
C L N P	816 938 1059 0 784 1092
N P D P	362 1061 0 331 1092
P Q S	912 0 881
G N H	912 0 879
Q P Q K	1047 0 1015
R V U S	1243 0 1210
I Y G	982 0 927 1038
C L L T	863 0 788 938
V A H	912 0 879
C W G E	422 605 822 0 391 854
D E D E	380 0 305 407
P R E L	955 1120 1248 0 922 1280
T P D L	362 961 0 331 992
G U L I	965 0 934
I V O E	422 695 968 0 391 999
D K E E	428 0 382 473
Q K S	1046 0 1015
C F T	863 0 788 938
T Y V	983 0 928 1038
W N T	907 0 876
Q C F D	362 575 822 0 331 854
S L O L	957 0 926
G A M R	1243 0 1210
R V L	1243 0 1210
G W M	918 0 887
Y L Y K	1005 0 960 1043
D L G L	362 961 0 331 992
G G K P	1065 0 1045
K M U U	1048 0 1015
V S R R	1253 0 1232
W I M M	918 0 887
A E M W	422 681 940 0 391 971
E E M W	431 0 374 469
E G C R	860 0 785 935
F O P U	345 0 314
D H S O	595 797 966 0 563 997
C V K	893 0 862 1082
Y V G M	963 0 891 1035
D T C M	362 575 823 0 331 853
W C H I	820 0 781 996
E O O	422 694 966 0 391 997
R O G I	1243 0 1210
S R C	1024 1159 1243 0 990 1279
H V O	960 0 927
R M M	1243 0 1210
K K U	1058 0 1037
H H I N	873 0 839
V Q K G	1046 0 1017
A U M N	877 0 846
R L U	1243 0 1210
P T P S	912 0 881
E T E K	433 659 899 0 413 931
R A U E	962 1124 1247 0 930 1280
H K S D	967 0 922 1079
M R F	1243 0 1210
M F M Y	958 0 881 1035
W P R M	1243 0 1210
O G O A	966 0 935
U W C	818 922 1025 0 784 1059
O D A M	362 922 0 331 953
D M L A	362 970 0 331 1001
S U S S	912 0 881
K K D	1040 0 1007 1107
D H F R	897 1101 1248 0 863 1280
I K G	1046 0 1017
